PID	Common Name :: title	Scientific Name (Species) :: subTitle	Collector :: namePart	Artist :: namePart	dateCreated @keyDate="yes" @point="start"	publisher	dateCaptured	dateCreated @point="end"	Place Collected :: geographic	Time Period :: temporal	Description	Family Name (Latin)	Family Name (English)	Date(s) Collected	typeOfResource	note @type="medium"	internetMediaType	extent	languageTerm @type="code"	Source	Relation	Digital Collection :: title	OCLC Member Symbol	Physical Location	Institution Web Site	subLocation	Contact Information	Rights	Cite As	Object File Name	Migrated From	recordOrigin	recordCreationDate	recordChangeDate	fileSize	digitizedBy	imageManipulation	colorMode	cataloger	hardwareSoftware	alias	pointer	imageBitDepth	imageResolution	note @type="content"
lsu-sc-msw:100	Louisiana Blue-Star	Amsonia ludoviciana Vail	Lemke, David	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-02-08	1989	Natchitoches Parish	1976-1989	"This attractive member of the mostly tropical dogbane family has been reported in Louisiana and Mississippi and was thought for a time to be extinct in the wild. Recent interest in rare plants has shown that the Louisianan blue-star still grows in a few places in the central part of Louisiana. A population of Amsonia discovered in Georgia about a year ago may indeed be this species. The larger flowers and the downy, soft undersides of the leaves distinguish this species from the more common Amsonia tabernaemontana. The Louisiana blue-star reminds us of how much there is to be learned about many of our native species." -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.16	APOCYNACEAE	Dogbane Family	April 4, 1981	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000007	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/41	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-05-04	2017-02-02	21.2 MB	ANH	Contrast and brightness adjusted to match original.	Color RGB	ajb	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	41	8-bit	600 dpi	
lsu-sc-msw:101	Louisiana Iris Hybrids	Iris spp., Louisiana hybrids	Givens, Florence M.||Shaffer, Margaret	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-07-24	1989	Terrebonne Parish	1976-1989	"Hybrids between different species of Iris may be formed under appropriate natural conditions. In parts of southern Louisiana, red iris and some of the blue flowering species, I. brevicaulis and I. giganticaerulea, have crossed with one another in various combinations. So diverse was the array of color variations from these natural crosses in southern Louisiana that early in this century [20th Century], J.K. Small, preeminent specialist on the southeastern flora, and E.J. Alexander, a collaborator, recognized more than eighty species of Iris from this state alone. Later investigators subsequently demonstrated that this variation was due to interspecific hybridization rather than specific diversity. Contemporary specialists are continuing to unravel the details and significance of such hybridizations by doing controlled ecological experiments and by using comparative studies of nucleic acids. Louisiana iris hybrids are popular garden ornamentals, and new cultivated varieties are continually being developed by iris enthusiasts."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 99	IRIDACEAE	Iris Family	April, 1983	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000101	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/117	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-08-01	2017-02-02	21.0 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	117	8-bit	600 dpi	
lsu-sc-msw:102	Lousewort or Wood Betony	Pedicularis canadensis L.	Phillips, Eloyce	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-08-10	1989	Winn Parish	1976-1989	"Lousewort, a herbaceous perennial, often forms dense colonies on moist, wooded hillsides or in clearings throughout much of the eastern United States. Like many other members of the figwort family, its roots parasitize other species of plants. Its woolly stems grow to about fifteen inches tall and support many leaves whose finely divided blades have a fernlike appearance. A congested raceme of showy yellow flowers about eight inches long terminates the stem. Individually, the flowers consist of a green, tubelike calyx and a conspicuously bilabiate corolla whose strongly incurved upper lip has a hooded appearance. Within the corolla are four stamens. Pedicularis, a genus of about five hundred species of north temperate distribution, is named for a louse. Reportedly, an early European belief held that cattle grazing this kind of plant became infested with lice."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 203	SCROPHULARIACEAE	Figwort Family	April 9, 1983	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000146	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/150	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-10-14	2017-02-02	21.0 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	150	8-bit	600 dpi	
lsu-sc-msw:103	Lundell's Locoweed	Astragalus soxmaniorum Lundell	Givens, Florence M.||MacRoberts, D.T.||Urbatsch, Lowell E.	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-03-27	1989	Caddo Parish	1976-1989	"Lundell's locoweed is a low perennial with many branches bearing featherlike leaves and terminal, compact racemes of pale lemon-yellow flowers and, later, beanlike fruit. This rare species of locoweed is restricted to deep, sandy soils in western Louisiana and eastern Texas. Because of its rareness, it had never been given a common name until the author provided it with one. Various members of the genus are called locoweed because they absorb selenium from the soil and consequently cause nervous disorders in livestock that graze on them. Astragalus, a large genus of about fifteen hundred species, grows mostly in arid regions. Because only six species of Astragalus are known in Louisiana, they are local curiosities." -- Lowell Urbatsch, in The Flora of Louisiana (Baton Rouge: LSU Press, 1991), p.57	FABACEAE	Legume Family	April 4, 1984	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press,	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000020	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/20	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-05-04	2017-02-02	21.4	ANH	Contrast and brightness adjusted to match original.	Color RGB	clg	Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	20	8-bit	600 dpi	
lsu-sc-msw:104	Lyre-Leaved Sage	Salvia lyrata L.	Givens, Florence M.	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-08-12	1989	East Baton Rouge Parish	1976-1989	"Roadside ditches, pastures, and lawns may be colored a misty blue in the early springtime by large colonies of lyre-leaved sage. Basal rosettes of pinnately round-lobed leaves, the veins and lower surfaces often shaded purple, characterize the foliage. One to several four-angled, flowering stalks up to eighteen inches tall may develop from a single rosette. Its upper half bears a number of whorls of flowers, each with a two-lipped calyx that is typical for the genus Salvia. Prominent features of the pale blue to violet corollas include a long, slender tube that, like those of most members of the mint family, forms a mouth-shaped opening; both lips have two or three smaller lobes. Within the corolla are two stamens and a four-lobed ovary. Lyre-leaved sage is widely distributed in the eastern United States. Although not well represented in the Louisiana flora, Salvia, with about seven hundred species, is a diverse group, especially in South America. Several species are grown as ornamentals, and some are used as herbal seasonings."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 101	LAMIACEAE	Mint Family	March 22, 1982	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000182	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/190	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-10-17	2017-02-02	21.0 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	190	8-bit	600 dpi	
lsu-sc-msw:105	Magnolia Macrophylla Big Leaf Magnolia Pencil SketchPSd				1976			1989							still image						http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.		Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.		http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/278	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2008-02-07	2017-02-02							MSW	278			
lsu-sc-msw:106	Mayapple	Podophyllum peltatum L.	Barton, Paula (flowers)||Odenwald, Neil (fruit)	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-08-09	1989	East Baton Rouge Parish	1976-1989	"The gregarious colonies of mayapple commonly found on rich, moist woodlands are well known to wildflower enthusiasts. These unusual plants spread by means of creeping rhizomes. Each upright stem may grow to a foot or more tall and usually bears two large, peltate, orbicular, three- to nine- parted leaves. A single flower arises from between the petioles of the two leaves. Its fugacious perianth consists of six sepals and six to nine large, showy petals that surround the numerous yellow stamens. The fragrant flower gives way to an ovoid, many-seeded berry that is reported to be edible, though its seeds and its vegetative parts contain poisonous substances. Mayapple appears early in the spring and flowers and fruits in a short period. It is easy to cultivate if provided with a moist, shady environment. Podophyllum, a genus of nearly a dozen species, is mostly Asian; only this one grows in the United States. Although generally placed in the barberry family, some specialists segregate it into the Podophyllaceae."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 34	BERBERIDACEAE	Barberry Family	July 16, 1978 (flowers and fruit)	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000158	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/162	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-10-14	2017-02-02	21.1 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	162	8-bit	600 dpi	Collection date for flowers as appears on the drawing is April 5, 1978.
lsu-sc-msw:107	Maypop or Passion Flower	Passiflora incarnata L.	Urbatsch, Lowell E.	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-08-10	1989	East Baton Rouge Parish	1976-1989	"Perhaps known by every child, the maypop commonly occurs in vacant lots and along the margins of woods, streams, and roadsides throughout much of the South. Leaves of this tendril-bearing vine are alternate and palmately three-parted. Its large, spectacular flowers, with five showy, bluish sepals and five similar petals, are about two inches in diameter. A number of unusual features--such as the corona, a crown of many threadlike filaments, and a stalk prominently displaying the stamens and pistil above the corona--are seen in maypop flowers. Their many-seeded fruits are soft and yellow when mature. Surrounding the seeds is a succulent, gelatinous substance that can be eaten directly or used to make a refreshing drink with a flavor similar to the commercially sold passion punch. Maypop may be cultivated for its fruits, attractive foliage, and sweet-smelling flowers. It is adaptable to a variety of soil conditions but must receive full sunlight in order to flower abundantly. Propagation may be accomplished by seeds, sucker shoots, and stem cuttings. Several other species of Passiflora have colorful and unusual flowers but generally are not hardy in subtropical or temperate areas."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 164	PASSIFLORACEAE	Passion Flower Family	August 21, 1980	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000144	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/148	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-08-11	2017-02-02	21.0 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	148	8-bit	600 dpi	Collection date of fruit as appears on the drawing is September 5, 1980.
lsu-sc-msw:108	Meadow Lily	Trifurcia lahue (Mol.) Goldbl. ssp. Caerulea (Herb.) Goldbl. [Alophia drummondii (Graham) R.C. Foster, misapplied]	Urbatsch, Lowell E.||Smith, Latimore	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-09-23	1989	East Baton Rouge Parish||East Feliciana Parish	1976-1989	"The correct scientific name for meadow lily has been the source of considerable confusion. Generally, this plant has been called Alophia drummondii, Herbertia drummondii, or H. caerulea and has only recently been called Trifurcia. Its common name too is somewhat misleading, because this plant is a member of the iris family. This species, known from the coastal and prairie regions of eastern Texas and Louisiana, has a rather restricted distribution. It often grows in lawns, where it stature is much shorter than in areas not subject to mowing. Except when in flower, meadow lily is inconspicuous. About a half-dozen, narrowly linear leaves that grow to about eighteen inches long and a nearly leafless stem arise from a subglobose bulb buried deep in the ground. Each stem generally bears two delicate, short-lived, intricately colored flowers two or more inches in diameter. The outer three perianth parts are large, rather wedge-shaped, and typically a pale to dark lavender with a violet halo outlining the white, violet-spotted base. Its inner three perianth parts are much smaller and are a deep violet, sometimes with white spots near the base. The three narrow anthers lie against the style branches."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p.100	IRIDACEAE	Iris Family	April 12, 1982; April 10, 1981	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000208	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/216	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-10-28	2017-02-02	19.2 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	216	8-bit	600 dpi	
lsu-sc-msw:109	Meadow Pink	Sabatia campestris Nutt.	Barton, Paula||Urbatsch, Lowell E.	Stones, Margaret	1976	Louisiana State University (Baton Rouge, La.). Libraries	2006-08-12	1989	St. Tammany Parish	1976-1989	"Meadow pink (left) is an erect annual with strongly four-angled stems. It grows in seasonally wet pine lands, prairies, marshes, and meadows. Its handsome five-petaled, star-shaped flowers, except for being larger with a more conspicuous, starlike, yellow eye highlighted with white markings and a more strongly ribbed calyx, are similar to those of rose gentian. In addition, meadow pink has alternate inflorescence branches, i.e., there is only one for each stem node. Exhibiting a wide range of coloration, corollas of this plant can be nearly white to rose. Meadow pink is widely distributed in Louisiana and may form large, spectacular colonies in early spring. It is easy to grow from seeds, which should be sown in early fall."--Lowell Urbatsch, in the Flora of Louisiana (Baton Rouge, LSU Press, 1991), p. 94	GENTIANACEAE	Gentian Family	June 13, 1978	still image	watercolor drawing	jp2	Approx. 57 x 38 cm	en	Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )	http://lsu.louisianadigitallibrary.org/lsu-msw%3Acollection	Native Flora of Louisiana - Watercolor drawings by Margaret Stones	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.	Image copyright Louisiana State University. 'Description' reprinted by permission of Louisiana State University Press from Flora of Louisiana: Watercolor Drawings by Margaret Stones with Botanical Descriptions by Lowell Urbatsch. Copyright 1991 by Louisiana State University Press.	Native Flora of Louisiana: Watercolor Drawings by Margaret Stones, Louisiana Digital Library, Baton Rouge, La.	ms000180	http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/MSW/id/186	Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.	2006-10-17	2017-02-02	21.3 MB	KAS	Contrast and brightness adjusted to match original.	Color RGB	kas	: Imagery digitally captured with Sinar 4 in. by 5 in. Large Format Camera with a PhaseOne 4 in. by 5 in. Digital Studio Camera System Back. Software used includes PhaseOne capturing software and Adobe Photoshop.	MSW	186	8-bit	600 dpi	Sabatia angularis (Rose Gentian) on the right, Sabatia campestris (Meadow Pink) on the left, and Sabatia gentianoides (Pinelands Pink) in the center appear on this drawing.
