PID,Common name (on plate) :: title,Part :: partNumber,Plate :: partNumber,Scientific name (on plate) :: subTitle,Artist :: namePart,Artist :: role :: roleTerm @type="code" @authority="marcrelator",Artist :: role :: roleTerm @type="text" @authority="marcrelator",Donated by :: namePart,Donated by :: role :: roleTerm @type="code" @authority="marcrelator",Donated by :: role :: roleTerm @type="text" @authority="marcrelator",Engraver/lithographer :: namePart,Engraver/lithographer :: role :: roleTerm @type="code" @authority="marcrelator",Engraver/lithographer :: role :: roleTerm @type="text" @authority="marcrelator",publisher,dateCreated,topic,Location of bird drawn :: geographic,abstract,Current scientific name,typeOfResource,note @type="medium",form,internetMediaType,extent,languageTerm @type="code",Source,Digital Collection :: title,Relation,Repository Collection :: title,OCLC Member Symbol,Physical Location,Institution Web Site,subLocation,Rights,Contact Information,Cite As,Item Number,Accession Number,Migrated From,recordCreationDate,recordChangeDate,recordOrigin,cataloger,hardwareSoftware,alias,pointer,Common name of plant :: subTitle,Scientific name of plant :: subTitle,Current common name,Current scientific plant name,dateIssued @keyDate="yes",Common name (on plate) :: nonSort,note @type="content"
sample:34,Tennessee Warbler,Part 31,Plate 154,Sylvia peregrina,"Audubon, John James (1785-1851)",art Artist,art Artist,Dr. and Mrs. Joseph W. Brouillette,dnr Donor,dnr Donor,R. Havell,eng Engraver,eng Engraver,R. Havell,1821,Birds North America Birds Pictorial works,Oakley Plantation,Depicts one bird in a holly.,Vermivora peregrina,still image,Water-colored engraving with aquatint,Engravings,jp2,30in x 40in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00019,20112,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/4,2007-04-27,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Debbie Cannon,Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back,LSU_JJA,4,,,,,,,Vermivora peregrina
sample:9,Children's Warbler,Part 7,Plate 35,Silvia childreni,"Audubon, John James (1785-1851)",art Artist,art Artist,Mrs. Calvin Schwing,dnr Donor,dnr Donor,R. Havell & Son.,eng Engraver,eng Engraver,R. Havell & Son.,1821,Birds North America Birds Pictorial works,"Louisiana, Oakley Plantation",Depicts a female,Dendroica petechia,still image,Water-colored engraving with aquatint,Engravings,jp2,30in x 40in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00008,20037,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/33,2007-05-07,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Lisa Lapointe,Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.,LSU_JJA,33,Spanish Coffee,Plant cassia occidentalis,Yellow Warbler,,,,Dendroica petechia Yellow Warbler
sample:27,Red-tailed Hawk,Part 11,Plate 51,Falco borealis,"Audubon, John James (1785-1851)",art Artist,art Artist,Dr. and Mrs. Winston C. Hilton,dnr Donor,dnr Donor,R. Havell Jr.,eng Engraver,eng Engraver,R. Havell Sr.,1821,Birds North America Birds Pictorial works,"Louisiana, Oakley Plantation",Depicts a male attacking a female in an attempt to wrest away the rabbit she holds in her talons.,Buteo jamaicensis,still image,Water-colored engraving with aquatint,Engravings,jp2,30in x 40in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00057,20055,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/1,2007-04-27,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Debbie Cannon,Photographed with large format 4in x 5: view camera outfitted with a Better Light Precision Digital Imaging back,LSU_JJA,1,,,,,,,Buteo jamaicensis
sample:28,Roscoe's Yellow Throat,Part 5,Plate 24,Sylvia rosco,"Audubon, John James (1785-1851)",art Artist,art Artist,Mr. and Mrs. Malcolm G. Parker,dnr Donor,dnr Donor,R. Havell and Son,eng Engraver,eng Engraver,R. Havell and Son,1821,Birds North America Birds Pictorial works,"Louisiana, Oakley Plantation",Depicts one male bird on a limb of the water oak.,Geothlypis trichas,still image,Water-colored engraving with aquatint,Engravings,jp2,30in x 40in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00007,20025,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/32,2007-05-07,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Lisa Lapointe,Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.,LSU_JJA,32,Swamp Oak,,Common Yellowthroat,,,,Geothlypis trichas Common Yellowthroat
sample:1,American Oyster Catcher,Part 65,Plate 324 (223 E.Fol.),,"Audubon, John James (1785-1851)",art Artist,art Artist,,,,J.T. Bowen,ltg Lithographer,ltg Lithographer,J.B. Chevalier,1821,Birds North America Birds Pictorial works,"Louisiana, Oakley Plantation",depicts one bird on a flat rock with water all around,Haematopus palliatus,still image,Water-colored lithograph,Lithographs,jp2,11in x 7in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00021,,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/9,2007-05-03,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Debbie Cannon,Scanned with a DigiBook 10000 RGB Color Scanner,LSU_JJA,9,,,,,,,Haematopus palliatus
sample:25,Red-breasted Sandpiper,Part 66,Plate 328 (El. Fol. 315),,"Audubon, John James (1785-1851)",art Artist,art Artist,,,,J.T. Bowen,ltg Lithographer,ltg Lithographer,J.B. Chevalier,1821,Birds North America Birds Pictorial works,"Louisiana, Oakley Plantation",Depicts a bird in breeding plumage,Calidrus canutus,still image,Water-colored lithograph,Lithographs,jp2,11in x 7in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00064,,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/23,2007-05-04,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Aimee Everrett,Scanned with a DigiBook 10000 RGB Color Scanner,LSU_JJA,23,,,Red Knot,,,,Calidrus canutus Red Knot
sample:38,Yellow-breasted Rail,Part 62,Plate 307 (El. Fol. 329),,"Audubon, John James (1785-1851)",art Artist,art Artist,,,,J.T. Bowen,ltg Lithographer,ltg Lithographer,J.B. Chevalier,,Birds North America Birds Pictorial works,"Louisiana, Oakley Plantation",Depicts one bird perched on low rocks on a bank by water with trees and woods behind.,Coturnicops noveboracensis,still image,Water-colored lithograph,Lithographs,jp2,11in x 7in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00066,,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/24,2007-05-04,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Aimee Everrett,Scanned with a DigiBook 10000 RGB Color Scanner,LSU_JJA,24,,,Yellow Rail,,,,Coturnicops noveboracensis Yellow Rail
sample:39,"Yellow-throated Vireo, or Greenlet",Part 48,Plate 238 (119 E.Fol.),,"Audubon, John James (1785-1851)",art Artist,art Artist,,,,J.T. Bowen,ltg Lithographer,ltg Lithographer,J.B. Chevalier,,Birds North America Birds Pictorial works,"Louisiana, Oakley Plantation",Depicts a male in a branch of hydrangea reaching for a wasp.,Vireo flavifrons,still image,Water-colored lithograph,Lithographs,jp2,7in x 11in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00017,,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/17,2007-05-04,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Aimee Everrett,Scanned with a DigiBook 10000 RGB Color Scanner,LSU_JJA,17,Swamp Snowball,Hydrangea quercifolia,,,,,Vireo flavifrons
sample:17,Louisiana Water Thrush,Part 4,Plate 19,Turdus aquaticus,"Audubon, John James (1785-1851)",art Artist,art Artist,Mr. and Mrs. Arthur M. Palmer,dnr Donor,dnr Donor,R. Havell Jr.,eng Engraver,eng Engraver,R. Havell Sr.,1821,Birds North America Birds Pictorial works,"Louisiana, Oakley Plantation",Depicts one bird in a fruited jack,Seiurus motacilla,still image,Water-colored engraving with aquatint,Engravings,jp2,30in x 40in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00005,20020,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/30,2007-05-07,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Lisa Lapointe,Photographed with a large format 4in x 5in view camera outfitted with a Better Light Precision Digital Imaging back. Uploaded as jpeg 2000.,LSU_JJA,30,Indian Turnip,,Louisiana Waterthrush,,,,Seiurus motacilla Louisiana Waterthrush
sample:14,Hudsonion Curlew,Part 72,Plate 365 (E.Fol 237),,"Audubon, John James (1785-1851)",art Artist,art Artist,,,,J.T. Bowen,ltg Lithographer,ltg Lithographer,J.B. Chevalier,,Birds North America Birds Pictorial works,"Louisiana, Oakley Plantation",Depicts one bird in a little clearing amid rocks and grasses.,Numenius phaeopus (Linnaeus),still image,Water-colored lithograph,Lithographs,jp2,11in x 7in,en,"Louisiana State University Libraries, Special Collections ( http://www.lib.lsu.edu/special )",John James Audubon in Louisiana,http://lsu.louisianadigitallibrary.org/lsu-jja%3Acollection,E.A. McIlhenny Natural History Collection,LUU,Louisiana State University: LSU Libraries,http://lib.lsu.edu,Hill Memorial Library: Special Collections,"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries.",E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this item here: http://www.lib.lsu.edu/special/services/duplication.html Mention the "Item number" or "Item URL" in your request.,"John James Audubon in Louisiana, Louisiana Digital Library, Baton Rouge, La.",aud00062,,http://cdm16313.contentdm.oclc.org/cdm/singleitem/collection/LSU_JJA/id/21,2007-05-04,2016-11-29,Transformed into MODS from extended Dublin Core by the LDL Development Team at Louisiana State University.,Aimee Everrett,Scanned with a DigiBook 10000 RGB Color Scanner,LSU_JJA,21,,,Whimbrel,,,,Numenius phaeopus (Linnaeus) Whimbrel
